STATISTIC_CODE,Statistic,CSOED_3409,Electoral_Division,TLISTA1,CensusYear,UNIT,VALUE,GUID,ED_ID
FP009C01,Population - 2016,30022,"Thomastown, Co.Roscommon, ",2022,2022,Number,736.0,2AE1962919EC13A3E055000000000001,197107
FP009C01,Population - 2016,30059,"Ballintober, Co.Roscommon, ",2022,2022,Number,736.0,2AE196291ABD13A3E055000000000001,197013
FP009C01,Population - 2016,08080,"Borris-in-Ossory, Co.Laois, ",2022,2022,Number,832.0,2AE1962916BA13A3E055000000000001,107019
FP009C01,Population - 2016,14044,"Ballygarrett, Co.Wexford, ",2022,2022,Number,832.0,2AE196291B0813A3E055000000000001,247013
FP009C01,Population - 2016,15049,"Dunganstown East, Co.Wicklow, ",2022,2022,Number,832.0,2AE196291EDB13A3E055000000000001,257030
FP009C01,Population - 2016,33112,"An Cheathrú Chaol, Co.Donegal, ",2022,2022,Number,832.0,2AE19629206A13A3E055000000000001,57025
FP009C01,Population - 2016,21104,"Rathronan, Co.Limerick, ",2022,2022,Number,864.0,2AE1962917D513A3E055000000000001,127125
FP009C01,Population - 2016,11069,"Ardnamullan, Co.Meath, ",2022,2022,Number,864.0,2AE19629182F13A3E055000000000001,167005
FP009C01,Population - 2016,29038,"Cong, Co.Mayo, ",2022,2022,Number,864.0,2AE19629196513A3E055000000000001,157057
FP009C01,Population - 2016,31056,"Lissadill East, Co.Sligo, ",2022,2022,Number,864.0,2AE19629199713A3E055000000000001,207059
FP009C01,Population - 2016,17025,"Farranferris B, Co.Cork, ",2022,2022,Number,928.0,2AE19629217513A3E055000000000001,48025
FP009C01,Population - 2016,21083,"Broadford, Co.Limerick, ",2022,2022,Number,960.0,2AE19629177413A3E055000000000001,127030
FP009C01,Population - 2016,29044,"Kilmaine, Co.Mayo, ",2022,2022,Number,960.0,2AE19629195A13A3E055000000000001,157101
FP009C01,Population - 2016,30058,"Ballinlough, Co.Roscommon, ",2022,2022,Number,992.0,2AE196291ABC13A3E055000000000001,197012
FP009C01,Population - 2016,18071,"Rosscarbery, Co.Cork, ",2022,2022,Number,992.0,2AE19629215613A3E055000000000001,47282
FP009C01,Population - 2016,11090,"An Ráth Mhór, Co.Meath, ",2022,2022,Number,1024.0,2AE1962918C013A3E055000000000001,167076
FP009C01,Population - 2016,18014,"Ballymurphy, Co.Cork, ",2022,2022,Number,1024.0,2AE196291F5813A3E055000000000001,47035
FP009C01,Population - 2016,14030,"Marshalstown, Co.Wexford, ",2022,2022,Number,1088.0,2AE196291E9613A3E055000000000001,247085
FP009C01,Population - 2016,13050,"Kinturk, Co.Westmeath, ",2022,2022,Number,1344.0,2AE196291B1013A3E055000000000001,237069
